lookupID,lookupIDcollection,verifiedOCN,originalNCLiveOCN,marcOCN,source,title,collection_type,timestamp_verified,last_updated,avod_title_id,corporate_name,series_name,subtitle
customid=53908$,customid=53908$fod,190872318,N/A,N/A,InfobaseLookup,America Beyond the Color Line :,fod,2025-04-01,2026-04-15,,,,
customid=53908$,customid=53908$jfk,190872318,N/A,N/A,InfobaseLookup,America Beyond the Color Line :,jfk,2025-04-01,2026-06-17,,UNC TV,,"Episodes 1 & 2, South :"
customid=53909$,customid=53909$fod,190872338,N/A,N/A,InfobaseLookup,America Beyond the Color Line :,fod,2025-04-01,2026-04-15,,,,
customid=53909$,customid=53909$jfk,190872338,N/A,N/A,InfobaseLookup,America Beyond the Color Line :,jfk,2025-04-01,2026-06-17,,UNC TV,,"Episodes 3 & 4, East Coast :"
customid=53910$,customid=53910$fod,183709062,N/A,N/A,InfobaseLookup,African-American Lives :,fod,2025-04-01,2026-04-15,,,,
customid=53910$,customid=53910$jfk,183709062,N/A,N/A,InfobaseLookup,African-American Lives :,jfk,2025-04-01,2026-06-17,,UNC TV,,"Episodes 1 & 2, Listening to our Past & The Promise of Freedom /"
customid=53911$,customid=53911$fod,183709088,N/A,N/A,InfobaseLookup,African-American Lives :,fod,2025-04-01,2026-04-15,,,,
customid=53911$,customid=53911$jfk,183709088,N/A,N/A,InfobaseLookup,African-American Lives :,jfk,2025-04-01,2026-06-17,,UNC TV,,"Episodes 3 & 4, Searching for our Names & Beyond the Middle Passage. /"
customid=53912$,customid=53912$fod,560524741,N/A,N/A,InfobaseLookup,Andrew Jackson :,fod,2025-04-09,2026-04-15,,,,
customid=53912$,customid=53912$jfk,560524741,N/A,N/A,InfobaseLookup,Andrew Jackson :,jfk,2025-04-09,2026-06-17,,UNC TV,,"Good, Evil, & The Presidency /"
customid=53913$,customid=53913$fod,1048832628,N/A,N/A,InfobaseLookup,Willa Cather :,fod,2025-04-01,2026-04-15,,,,
customid=53913$,customid=53913$jfk,1048832628,N/A,N/A,InfobaseLookup,Willa Cather :,jfk,2025-04-01,2026-06-17,,UNC TV,,The Road is All /
customid=53914$,customid=53914$fod,565687163,N/A,N/A,InfobaseLookup,Ernest Hemingway :,fod,2025-04-01,2026-04-15,,,,
customid=53914$,customid=53914$jfk,565687163,N/A,N/A,InfobaseLookup,Ernest Hemingway :,jfk,2025-04-01,2026-06-17,,UNC TV,,Rivers to the Sea /
customid=53915$,customid=53915$fod,190843685,N/A,N/A,InfobaseLookup,Abraham & Mary Lincoln :,fod,2025-04-09,2026-04-15,,,,
customid=53915$,customid=53915$jfk,190843685,N/A,N/A,InfobaseLookup,Abraham & Mary Lincoln :,jfk,2025-04-09,2026-06-17,,UNC TV,,A House Divided :
customid=53916$,customid=53916$fod,190843674,N/A,N/A,InfobaseLookup,Abraham & Mary Lincoln :,fod,2025-04-09,2026-04-15,,,,
customid=53916$,customid=53916$jfk,190843674,N/A,N/A,InfobaseLookup,Abraham & Mary Lincoln :,jfk,2025-04-09,2026-06-17,,UNC TV,,A House Divided :
